film_name,original_name,film_director,kinopoisk_rate,imdb_rate,difference
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,Мишель Гондри,8.026,8.3,-0.2740000000000009
Писатели свободы,Freedom Writers,Ричард ЛаГравенес,8.025,7.5,0.5250000000000004
Октябрьское небо,October Sky,Джо Джонстон,8.025,7.8,0.22500000000000053
Город Бога,Cidade de Deus,Фернанду Мейреллиш,8.019,8.6,-0.5809999999999995
Крепкий орешек,Die Hard,Джон МакТирнан,8.019,8.2,-0.18099999999999916
Трасса 60,Interstate 60,Боб Гейл,8.017,7.7,0.3169999999999993
Цирк,The Circus,Чарльз Чаплин,8.016,8.2,-0.18399999999999928
Планета Ка-Пэкс,K-PAX,Иэн Софтли,8.015,7.4,0.6150000000000002
Ледниковый период,Ice Age,Крис Уэдж,8.015,7.5,0.5150000000000006
Головоломка,Inside Out,Пит Доктер,8.01,8.1,-0.08999999999999986
Иллюзионист,The Illusionist,Нил Бёргер,8.01,7.6,0.41000000000000014
Пираты Карибского моря: На краю Света,Pirates of the Caribbean: At World's End,Гор Вербински,8.007,7.1,0.907
Я – Сэм,I Am Sam,Джесси Нельсон,8.002,7.7,0.3020000000000005
Джокер,Joker,Тодд Филлипс,8.001,8.5,-0.49900000000000055
Амели,Le Fabuleux destin d'Amélie Poulain,Жан-Пьер Жёне,7.996,8.3,-0.30400000000000027
Медведь,L'ours,Жан-Жак Анно,7.992,7.7,0.2919999999999998
Шрэк,Shrek,Эндрю Адамсон,7.99,7.8,0.1900000000000004
Вверх,Up,Пит Доктер,7.986,8.2,-0.21399999999999952
Крамер против Крамера,Kramer vs. Kramer,Роберт Бентон,7.983,7.8,0.18299999999999983
Реквием по мечте,Requiem for a Dream,Даррен Аронофски,7.981,8.3,-0.31900000000000084
Король говорит!,The King's Speech,Том Хупер,7.978,8.0,-0.02200000000000024
Красота по-американски,American Beauty,Сэм Мендес,7.972,8.3,-0.3280000000000003
Хоббит: Пустошь Смауга,The Hobbit: The Desolation of Smaug,Питер Джексон,7.97,7.8,0.16999999999999993
Легенда №17,,Николай Лебедев,7.962,7.5,0.46199999999999974
